,Date,Open,High,Low,Close,Adj Close,Volume,Next Close
0,2004-10-29,16.11664745940283,16.13007799895233,16.11664745940283,16.11664745940283,8.363332625924569,5951800,12.0
1,2004-11-01,16.10820942408377,16.12163293193717,16.10820942408377,16.10820942408377,8.358953917743456,764400,12.0
2,2004-11-02,16.10820942408377,16.12163293193717,16.10820942408377,16.10820942408377,8.358953917743456,950100,12.15
3,2004-11-03,16.135056439790578,16.37667958115183,16.12163293193717,16.309562041884817,8.463442502874345,433600,12.06
4,2004-11-04,16.349832565445027,16.349832565445027,16.175326963350788,16.188750471204187,8.400753378848167,311200,12.08
5,2004-11-05,16.175326963350788,16.2424445026178,16.10820942408377,16.215597486910998,8.414682952947643,391800,12.01
6,2004-11-08,16.282715026178014,16.282715026178014,16.10820942408377,16.12163293193717,8.365926087722512,91100,12.01
7,2004-11-09,16.10820942408377,16.188750471204187,16.10820942408377,16.12163293193717,8.365926087722512,97600,12.01
8,2004-11-10,16.10820942408377,16.16190345549738,16.10820942408377,16.12163293193717,8.365926087722512,177500,12.02
9,2004-11-11,16.10820942408377,16.135056439790578,16.10820942408377,16.135056439790578,8.372887518895288,92700,12.29
10,2004-11-12,16.12163293193717,16.618302722513093,16.12163293193717,16.49749115183246,8.560965629780105,354900,12.39
11,2004-11-15,16.53776167539267,16.71226727748691,16.37667958115183,16.631726230366496,8.63062423908377,268100,12.5
12,2004-11-16,16.765961308900525,16.980737434554975,16.524338167539266,16.77938481675393,8.707249648963352,252500,12.51
13,2004-11-17,16.846502356020945,16.913619895287958,16.57803219895288,16.79280832460733,8.714212422486911,425000,12.72
14,2004-11-18,16.77938481675393,17.101549005235604,16.77938481675393,17.074701989528798,8.860493756968587,179700,12.71
15,2004-11-19,17.074701989528798,17.101549005235604,16.77938481675393,17.061278481675394,8.853530983445026,202600,12.63
16,2004-11-22,16.92704340314136,17.088125497382197,16.79280832460733,16.953890418848168,8.797800605890053,105200,12.8
17,2004-11-23,16.846502356020945,17.383442670157066,16.806231832460732,17.182090052356024,8.916222792172775,204200,12.79
18,2004-11-24,17.114972513089008,17.383442670157066,17.047854973821988,17.168666544502617,8.90925330689529,141700,12.65
19,2004-11-26,16.645149738219896,17.155243036649217,16.645149738219896,16.980737434554975,8.811734207041887,42900,12.68
20,2004-11-29,16.980737434554975,17.114972513089008,16.846502356020945,17.021007958115185,8.832631924068062,174200,12.76
